Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,ma_20,volatility_20,momentum_10
2021-07-12 00:00:00-04:00,142.51850183873523,142.62572515772004,140.36429329314447,140.85166931152344,76299700,0.0,0.0,,,,
2021-07-13 00:00:00-04:00,140.3934939298509,143.7369001800956,140.00359917768813,141.9628448486328,100827100,0.0,0.0,0.00788897669825818,,,
2021-07-14 00:00:00-04:00,144.36076918149035,145.79365573228569,143.95136027537654,145.38424682617188,127050800,0.0,0.0,0.024100686212558755,,,
2021-07-15 00:00:00-04:00,145.47199168239987,146.21279783696795,143.3762659892824,144.73117065429688,106820300,0.0,0.0,-0.004492069712723745,,,
2021-07-16 00:00:00-04:00,144.71166743629377,145.97883295333372,142.19680585690423,142.6939239501953,93251400,0.0,0.0,-0.01407607424780461,,,
2021-07-19 00:00:00-04:00,140.1205738932986,140.43250161447835,138.09308832622733,138.8533935546875,121434600,0.0,0.0,-0.026914463413650877,,,
2021-07-20 00:00:00-04:00,139.83793618290784,143.38603306380864,139.35056015600642,142.4600067138672,96350000,0.0,0.0,0.02597425289256053,,,
2021-07-21 00:00:00-04:00,141.8556348529318,142.44049190950972,140.97836414159778,141.72891235351562,74993500,0.0,0.0,-0.005131927038442271,,,
2021-07-22 00:00:00-04:00,142.25529492286392,144.4582288663732,142.1285724161041,143.0935821533203,77338200,0.0,0.0,0.009628732607506223,,,
2021-07-23 00:00:00-04:00,143.82463382519293,144.96509166825837,143.210535419876,144.8091278076172,71447400,0.0,0.0,0.01198897692321883,,,
2021-07-26 00:00:00-04:00,144.5264642055409,146.04707474588002,143.97084849928373,145.22828674316406,72434100,0.0,0.0,0.002894561564542664,,,0.031072527951094456
2021-07-27 00:00:00-04:00,145.35497344078965,145.44271240050767,141.8751174935938,143.06431579589844,104818600,0.0,0.0,-0.014900478383337286,,,0.007758867811081575
2021-07-28 00:00:00-04:00,141.15382825419624,143.25929604709813,138.94113715127986,141.3195343017578,118931200,0.0,0.0,-0.012195784004096476,,,-0.027958410991212965
2021-07-29 00:00:00-04:00,141.0368336570977,142.8498725143642,140.92961036922324,141.9628448486328,56699500,0.0,0.0,0.004552170017071718,,,-0.019127364154860958
2021-07-30 00:00:00-04:00,140.73470874624329,142.63547230965827,140.47152152252852,142.17733764648438,70440600,0.0,0.0,0.001510907999063166,,,-0.0036202403677064936
2021-08-02 00:00:00-04:00,142.6647202141764,143.23982039265098,141.58274477107045,141.84593200683594,62880000,0.0,0.0,-0.0023309315333534955,,,0.02155178476765009
2021-08-03 00:00:00-04:00,142.12855135709023,144.30224361135603,141.51445299043982,143.63941955566406,64786600,0.0,0.0,0.012643912472172216,,,0.008278904859001877
2021-08-04 00:00:00-04:00,143.5516890402157,144.0585492223941,142.5866794891882,143.23976135253906,56368300,0.0,0.0,-0.0027823713320570885,,,0.010660132600572804
2021-08-05 00:00:00-04:00,143.2690181917266,144.10730535100612,142.47947159810346,143.3470001220703,46397700,0.0,0.0,0.00074866621194178,,,0.0017709946521463874
2021-08-06 00:00:00-04:00,142.8687074712915,143.6106236198985,142.16583326910765,142.6636962890625,54126800,0.22,0.0,-0.004766781533104495,142.7528503417969,,-0.014815582077152974
2021-08-09 00:00:00-04:00,142.72223685529076,143.21034301067533,142.05841963396023,142.61485290527344,48908700,0.0,0.0,-0.00034236729497108325,142.84100952148438,0.012798064622305217,-0.01799534991769529
2021-08-10 00:00:00-04:00,142.9565505100319,144.196344465899,141.84366893661831,142.13653564453125,69023100,0.0,0.0,-0.0033539091546088244,142.8496940612793,0.012712301943395296,-0.006485056362278331
2021-08-11 00:00:00-04:00,142.57583309295842,143.22989365517753,142.06819844175104,142.39035034179688,48493500,0.0,0.0,0.0017857104516771766,142.69999923706055,0.011411090935804708,0.007577268389185055
2021-08-12 00:00:00-04:00,142.7124810649403,145.50444888855472,142.37080079552103,145.34825134277344,72282600,0.0,0.0,0.020773184375741424,142.73085327148436,0.012360577741495633,0.023847130548491743
2021-08-13 00:00:00-04:00,145.42634081402107,145.88516176552068,144.74299521470792,145.55325317382812,59375000,0.0,0.0,0.0014104182827162715,142.87381973266602,0.011889666073663803,0.023744399657685013
2021-08-16 00:00:00-04:00,145.00657783567002,147.59354953492934,142.98582599022765,147.52520751953125,103296000,0.0,0.0,0.013547992248226172,143.3074104309082,0.010201827199707615,0.040038339008704266
2021-08-17 00:00:00-04:00,146.65636676617194,148.07187159409528,145.5434853619502,146.61732482910156,92229700,0.0,0.0,-0.006154085160730857,143.51527633666993,0.008847107149832941,0.02073181082636917
2021-08-18 00:00:00-04:00,146.23660593235846,147.134719463398,142.67342208980006,142.87843322753906,86326000,0.0,0.0,-0.02550102183299678,143.5727523803711,0.010638851932876526,-0.0025225406799631975
